运输架次,阶段,开始_s,结束_s,保障方式,中继架次
T06,巡航,1352.463371,1432.204952,直连,
T06,下降,1432.204952,1555.379566,直连,
T07,爬升,540.0,635.359136,直连,
T07,巡航,635.359136,847.773014,直连,
T07,下降,847.773014,873.421934,直连,
T07,投送,873.421934,1197.421934,直连,
T07,爬升,1197.421934,1307.646465,直连,
T07,巡航,1307.646465,1370.332509,中继,RS01
T07,巡航,1370.332509,1409.511286,直连,
T07,巡航,1409.511286,1474.809249,中继,RS01
T07,下降,1474.809249,1595.739913,中继,RS01
T07,投送,1595.739913,1919.739913,中继,RS01
T07,爬升,1919.739913,1985.129183,中继,RS01
T07,巡航,1985.129183,2060.703525,中继,RS01
T07,巡航,2060.703525,2287.426554,直连,
T07,下降,2287.426554,2479.563141,直连,
T08,爬升,510.0,568.142644,直连,
T08,巡航,568.142644,723.950501,直连,
T08,巡航,723.950501,771.741234,中继,RS01
T08,下降,771.741234,816.269539,直连,
T08,投送,816.269539,1032.269539,直连,
T08,爬升,1032.269539,1082.367476,直连,
T08,巡航,1082.367476,1155.044101,中继,RS01
T08,巡航,1155.044101,1227.720727,中继,RS02
T08,巡航,1227.720727,1264.05904,中继,RS01
T08,巡航,1264.05904,1300.397353,中继,RS02
T08,巡航,1300.397353,1336.735665,中继,RS01
T08,巡航,1336.735665,1373.073978,中继,RS02
T08,下降,1373.073978,1395.510189,中继,RS02
T08,下降,1395.510189,1417.9464,中继,RS01
T08,投送,1417.9464,1813.9464,中继,RS01
T08,爬升,1813.9464,1831.83725,中继,RS01
T08,爬升,1831.83725,1849.728101,中继,RS02
T08,巡航,1849.728101,1911.489022,中继,RS02
T08,巡航,1911.489022,1942.369482,中继,RS01
T08,巡航,1942.369482,2035.010863,中继,RS02
T08,巡航,2035.010863,2220.293624,中继,RS01
T08,巡航,2220.293624,2343.815465,直连,
T08,下降,2343.815465,2434.442592,直连,
T09,爬升,1671.0,1719.452203,直连,
T09,巡航,1719.452203,1910.325881,直连,
T09,巡航,1910.325881,1973.95044,中继,RS01
T09,下降,1973.95044,2009.573084,直连,
T09,投送,2009.573084,2219.573084,直连,
T09,爬升,2219.573084,2249.258621,直连,
T09,巡航,2249.258621,2312.88318,中继,RS01
T09,巡航,2312.88318,2503.756858,直连,
T09,下降,2503.756858,2561.899502,直连,
T10,爬升,1945.379566,2035.873507,直连,
T10,巡航,2035.873507,2116.694213,直连,
T10,巡航,2116.694213,2359.156332,中继,RS02
T10,下降,2359.156332,2378.149062,中继,RS02
T10,投送,2378.149062,2618.149062,中继,RS02
T10,爬升,2618.149062,2633.976336,中继,RS02
T10,巡航,2633.976336,2876.438455,中继,RS02
T10,巡航,2876.438455,2957.259161,直连,
T10,下降,2957.259161,3065.851891,直连,
T11,爬升,2283.0,2331.452203,直连,
T11,巡航,2331.452203,2484.151146,直连,
T11,巡航,2484.151146,2535.050793,中继,RS01
T11,下降,2535.050793,2570.673437,直连,
T11,投送,2570.673437,2780.673437,直连,
T11,爬升,2780.673437,2810.358974,直连,
T11,巡航,2810.358974,2861.258621,中继,RS01
T11,巡航,2861.258621,3013.957563,直连,
T11,下降,3013.957563,3072.100207,直连,
T12,爬升,2350.409812,2398.862015,直连,
T12,巡航,2398.862015,2589.735693,直连,
T12,巡航,2589.735693,2653.360252,中继,RS01
T12,下降,2653.360252,2688.982896,直连,
T12,投送,2688.982896,2868.982896,直连,
T12,爬升,2868.982896,3007.666368,直连,
T12,巡航,3007.666368,3440.68396,中继,RS02
T12,下降,3440.68396,3540.304126,中继,RS02
T12,投送,3540.304126,3720.304126,中继,RS02
T12,爬升,3720.304126,3800.619922,中继,RS02
T12,巡航,3800.619922,4139.345038,中继,RS02
T12,巡航,4139.345038,4252.25341,直连,
T12,下降,4252.25341,4437.952365,直连,
T13,爬升,2536.15492,2680.856299,直连,
T13,巡航,2680.856299,2832.172534,直连,
T13,巡航,2832.172534,3286.121237,中继,RS01
T13,下降,3286.121237,3375.442892,中继,RS01
T13,投送,3375.442892,3585.442892,中继,RS01
T13,爬升,3585.442892,3659.877605,中继,RS01
T13,巡航,3659.877605,4113.826309,中继,RS01
T13,巡航,4113.826309,4265.142543,直连,
T13,下降,4265.142543,4438.784198,直连,
T14,爬升,2914.442592,2972.585236,直连,
T14,巡航,2972.585236,3125.284178,直连,
T14,巡航,3125.284178,3176.183826,中继,RS01
T14,下降,3176.183826,3220.712131,直连,
T14,投送,3220.712131,3544.712131,直连,
T14,爬升,3544.712131,3617.826999,直连,
T14,巡航,3617.826999,4015.707559,中继,RS01
T14,下降,4015.707559,4063.651144,中继,RS01
T14,投送,4063.651144,4315.651144,中继,RS01
