条目,输入,第二实现值,被核验实现值,绝对差,相对差,容差,判定,来源
式(2-3) 航段总能耗（真实航段）,"B 机型 S014->S003, q=15 kg",2.1585592394485054,2.1585592394485054,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S014->S003, q=15 kg",1007.9826443068299,1007.9826443068299,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S014->S003, q=30 kg",3.1833421699140225,3.1833421699140225,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S014->S003, q=30 kg",1007.9826443068299,1007.9826443068299,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S003->S014, q=0 kg",1.831930032597662,1.831930032597662,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S003->S014, q=0 kg",1007.149310973492,1007.149310973492,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S003->S014, q=15 kg",2.1623439616707163,2.1623439616707163,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S003->S014, q=15 kg",1007.149310973492,1007.149310973492,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S003->S014, q=30 kg",3.1878365275528946,3.1878365275528946,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S003->S014, q=30 kg",1007.149310973492,1007.149310973492,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S003->S012, q=0 kg",1.7511371384771581,1.7511371384771581,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S003->S012, q=0 kg",999.0760397748379,999.0760397748379,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S003->S012, q=15 kg",2.0671467688753755,2.0671467688753755,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S003->S012, q=15 kg",999.0760397748379,999.0760397748379,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S003->S012, q=30 kg",3.0463170150067262,3.0463170150067262,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S003->S012, q=30 kg",999.0760397748379,999.0760397748379,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S012->S003, q=0 kg",1.7655777461160456,1.7655777461160456,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S012->S003, q=0 kg",995.1627064415037,995.1627064415037,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S012->S003, q=15 kg",2.084919824430929,2.084919824430929,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S012->S003, q=15 kg",995.1627064415037,995.1627064415037,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"B 机型 S012->S003, q=30 kg",3.067422518478946,3.067422518478946,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"B 机型 S012->S003, q=30 kg",995.1627064415037,995.1627064415037,0.0,0.0,1e-09,一致,问题二_调度核心.segment
附录2 下降能耗效率取 0,"B 机型, 下降=100 m",0.0,0.0,0.0,0.0,1e-15,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S014->S003, q=0 kg",3.8749391581862067,3.8749391581862067,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S014->S003, q=0 kg",1049.5209031772727,1049.5209031772727,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S014->S003, q=40 kg",4.807648690485038,4.807648690485038,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S014->S003, q=40 kg",1049.5209031772727,1049.5209031772727,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S014->S003, q=80 kg",8.39428344662508,8.39428344662508,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S014->S003, q=80 kg",1049.5209031772727,1049.5209031772727,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S003->S014, q=0 kg",3.878246059227852,3.878246059227852,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S003->S014, q=0 kg",1048.2709031772679,1048.2709031772679,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S003->S014, q=40 kg",4.81284795263779,4.81284795263779,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S003->S014, q=40 kg",1048.2709031772679,1048.2709031772679,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S003->S014, q=80 kg",8.401375069888923,8.401375069888923,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S003->S014, q=80 kg",1048.2709031772679,1048.2709031772679,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S003->S012, q=0 kg",3.7037372859947806,3.7037372859947806,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S003->S012, q=0 kg",1047.6275278119472,1047.6275278119472,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S003->S012, q=40 kg",4.597471083545852,4.597471083545852,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S003->S012, q=40 kg",1047.6275278119472,1047.6275278119472,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S003->S012, q=80 kg",8.02326182019622,8.02326182019622,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S003->S012, q=80 kg",1047.6275278119472,1047.6275278119472,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S012->S003, q=0 kg",3.7192664932864443,3.7192664932864443,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S012->S003, q=0 kg",1041.7575278119466,1041.7575278119466,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S012->S003, q=40 kg",4.621886818615291,4.621886818615291,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S012->S003, q=40 kg",1041.7575278119466,1041.7575278119466,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-3) 航段总能耗（真实航段）,"C 机型 S012->S003, q=80 kg",8.056564083043433,8.056564083043433,0.0,0.0,1e-09,一致,问题二_调度核心.segment
式(2-2) 航段总时间（真实航段）,"C 机型 S012->S003, q=80 kg",1041.7575278119466,1041.7575278119466,0.0,0.0,1e-09,一致,问题二_调度核心.segment
附录2 下降能耗效率取 0,"C 机型, 下降=100 m",0.0,0.0,0.0,0.0,1e-15,一致,问题二_调度核心.segment
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0",1800.0,1800.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.2",1540.0,1540.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.5",1150.0,1150.0,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
式(2-5) 两阶段充电时长,"A 型电池 1800 s, SOC=0.8",759.9999999999999,759.9999999999999,0.0,0.0,1e-15,一致,问题二_调度核心.charge_time
