方案,种子,迭代,当前代价,历史最优代价,历史最优完成时间_s,历史最优能耗_kWh,历史最优架次
完成时间优先,1,7100,64736.66510018541,64736.041834965654,6427.573880477822,69.06060603748605,23
完成时间优先,1,7500,64736.041834965654,64735.99294055607,6427.573880477822,69.05082715556895,23
完成时间优先,1,7600,64737.25227896826,64735.99294055607,6427.573880477822,69.05082715556895,23
完成时间优先,1,7700,64737.26867205526,64735.99294055607,6427.573880477822,69.05082715556895,23
完成时间优先,1,7800,64738.526749101344,64735.99294055607,6427.573880477822,69.05082715556895,23
完成时间优先,1,8000,64737.45156417114,64735.99294055607,6427.573880477822,69.05082715556895,23
完成时间优先,2,100,65997.64867690725,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,2,400,69119.0656206798,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,2,900,73147.64464654587,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,2,1000,69036.18781350693,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,2,1100,69345.75947160665,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,2,1200,69338.2480124541,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,2,1300,66261.32984832025,65697.48694455271,6521.5155113126975,72.46636628514942,24
完成时间优先,2,1400,65695.96936228895,65695.93673836152,6521.5155113126975,72.15632504690988,24
完成时间优先,2,1600,65694.27266244535,65693.66909057544,6521.5155113126975,71.70279548969197,24
完成时间优先,2,1900,66024.2134104275,65693.66909057544,6521.5155113126975,71.70279548969197,24
完成时间优先,2,2100,66021.96891059446,65693.66909057544,6521.5155113126975,71.70279548969197,24
完成时间优先,2,2200,65697.41492563694,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,2300,65697.42046385564,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,2400,65709.26644908862,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,2600,65712.83768348576,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,2900,65697.95080770238,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,3000,65710.42852871644,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,3100,65696.21684402242,65692.98247472629,6521.5155113126975,71.56547231986333,24
完成时间优先,2,3200,65034.18630397917,65033.775840133814,6455.5155113126975,71.72414540136809,24
完成时间优先,2,3300,65034.07455332732,65033.12520433477,6455.5155113126975,71.59401824155977,24
完成时间优先,2,3500,65034.493173026276,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,3600,65035.24848368692,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,3700,65036.0214812995,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,3900,65048.37911446069,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,4100,65049.741310573845,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,4200,65050.1922133457,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,4400,65053.10007987829,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,4800,65037.514969101205,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,4900,65034.66195024415,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,5100,65034.42076357313,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,5200,65034.01706203414,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,5500,65034.99184934693,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,6000,65035.54317913259,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,6100,65035.54317913259,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,6200,65035.85926170914,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,6300,65035.25886143743,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,6400,65033.89232275051,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,6500,65034.20167407703,65032.71827035894,6455.5155113126975,71.51263144639402,24
完成时间优先,2,7000,65035.206028170236,65031.61943174598,6455.5155113126975,71.2928637238022,24
完成时间优先,2,7600,65033.68648038701,65031.33083595461,6455.5155113126975,71.23514456552829,24
完成时间优先,2,7700,65031.59029269411,65031.33083595461,6455.5155113126975,71.23514456552829,24
完成时间优先,2,7800,65032.245299163194,65031.33083595461,6455.5155113126975,71.23514456552829,24
完成时间优先,3,100,68908.69481172685,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,600,69629.25163211966,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,800,69731.79986638969,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,900,71086.60497547394,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,1200,66385.14196201036,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,1300,66208.41618133549,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,1400,66821.99504447085,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,1500,66033.19166864637,65793.81884940801,6532.3708703298835,70.02202922183473,24
完成时间优先,3,1600,65719.08275518939,65718.7276015009,6522.900301924575,72.94491645103068,25
完成时间优先,3,1700,65762.34898386938,65718.7276015009,6522.900301924575,72.94491645103068,25
完成时间优先,3,1800,65761.8575165848,65718.7276015009,6522.900301924575,72.94491645103068,25
完成时间优先,3,1900,65762.18516429797,65718.7276015009,6522.900301924575,72.94491645103068,25
完成时间优先,3,2000,65760.34955639209,65718.7276015009,6522.900301924575,72.94491645103068,25
完成时间优先,3,2200,65615.6604664166,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,2400,65762.91129615034,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,2500,65722.35476302689,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,2600,65718.61565237313,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,2700,65720.76631844154,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,3100,65719.8949395341,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,3300,65867.52904754033,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,3600,65721.93771799974,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,3700,65724.91499130696,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,3800,65716.31313950033,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,3900,65716.47246611892,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4000,65718.45045258931,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4300,65617.44071772817,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4400,65618.57366059927,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4500,65619.63236393739,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4600,65619.59729147967,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4700,65618.17594371777,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,4800,65616.54492337334,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,5100,65618.39457685468,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,5300,65619.2183611802,65614.14171862273,6511.70546486793,73.41741398868754,26
完成时间优先,3,5400,65620.54481732551,65614.14171862273,6511.70546486793,73.41741398868754,26
