返航余量_百分比,服务区,机型,最大安全载荷_kg,状态,全任务架次数,全任务能耗_kWh,全任务累计时间_s,最低实际返航SOC
25.0,S004,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S004,B,27.40488800593593,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S004,C,55.6530219589574,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S005,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S005,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S005,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S006,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S006,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S006,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S007,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S007,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S007,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S008,A,24.64684669856207,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S008,B,25.521735396201887,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S008,C,49.7692189815508,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S009,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S009,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S009,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S010,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S010,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S010,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S011,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S011,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S011,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S012,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S012,B,29.450871162553565,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S012,C,61.11430112705182,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S013,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S013,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S013,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S014,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S014,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S014,C,80.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S015,A,25.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S015,B,30.0,structural_payload_limit,19,61.072912349314905,34572.73416236401,0.2707988279526595
25.0,S015,C,78.43516649934847,energy_limited,19,61.072912349314905,34572.73416236401,0.2707988279526595
30.0,S001,A,25.0,structural_payload_limit,20,67.22501798385701,36586.85464033377,0.31013653357391047
