mplot3d_elev（度）,真实仰角θ（度）,方位角（度）,可见地面点数,满足余量(≥2m)的地面点数,最小视线余量（m）,被遮挡节点
32.0,11.77,177.0,10,9,-75.25,S001-S003-S006-S011-S012-S014
33.0,12.21,-180.0,10,10,-82.95,S001-S003-S006-S011-S012-S014
33.0,12.21,-177.0,10,9,-78.94,S001-S003-S006-S011-S012-S014
33.0,12.21,-174.0,11,8,-68.44,S003-S006-S011-S012-S014
33.0,12.21,-171.0,11,7,-60.01,S003-S006-S011-S012-S014
33.0,12.21,-168.0,9,6,-59.03,O01-S003-S004-S006-S011-S012-S014
33.0,12.21,-165.0,9,7,-53.98,O01-S003-S004-S006-S012-S013-S014
33.0,12.21,-162.0,7,7,-50.57,O01-S003-S004-S006-S007-S011-S012-S013-S014
33.0,12.21,-159.0,10,8,-44.35,S004-S007-S011-S012-S013-S014
33.0,12.21,-156.0,10,9,-35.05,S004-S007-S011-S012-S013-S014
33.0,12.21,-153.0,10,10,-25.51,S004-S007-S011-S012-S013-S014
33.0,12.21,-150.0,10,10,-28.49,S004-S007-S011-S012-S013-S014
33.0,12.21,-147.0,10,10,-29.21,S004-S007-S011-S012-S013-S014
33.0,12.21,-144.0,10,10,-28.41,S004-S007-S011-S012-S013-S014
33.0,12.21,-141.0,10,10,-25.2,S004-S007-S011-S012-S013-S014
33.0,12.21,-138.0,10,10,-26.02,S004-S007-S011-S012-S013-S014
33.0,12.21,-135.0,11,11,-21.09,S004-S007-S011-S012-S013
33.0,12.21,-132.0,11,11,-17.88,S004-S007-S011-S012-S013
33.0,12.21,-129.0,11,11,-19.88,S004-S007-S011-S012-S013
33.0,12.21,-126.0,12,11,-32.56,S004-S007-S012-S013
33.0,12.21,-123.0,13,12,-54.8,S004-S007-S013
33.0,12.21,-120.0,13,12,-60.9,S004-S007-S013
33.0,12.21,-117.0,13,13,-42.42,S004-S007-S013
33.0,12.21,-114.0,13,13,-17.5,S004-S007-S013
33.0,12.21,-111.0,13,13,-15.14,S004-S007-S013
33.0,12.21,-108.0,13,13,-19.61,S004-S007-S013
33.0,12.21,-105.0,13,13,-23.4,S004-S007-S013
33.0,12.21,-102.0,14,13,-23.77,S004-S007
33.0,12.21,-99.0,14,13,-21.14,S004-S007
33.0,12.21,-96.0,14,13,-22.55,S004-S007
33.0,12.21,-93.0,14,12,-23.48,S004-S007
33.0,12.21,-90.0,14,12,-23.82,S004-S007
33.0,12.21,-87.0,13,12,-32.43,O01-S004-S007
33.0,12.21,-84.0,13,11,-48.03,O01-S004-S007
33.0,12.21,-81.0,13,12,-51.04,O01-S004-S007
33.0,12.21,-78.0,11,11,-53.82,O01-S002-S004-S007-S010
33.0,12.21,-75.0,10,10,-49.88,O01-S002-S004-S007-S008-S010
33.0,12.21,-72.0,11,11,-67.58,O01-S002-S004-S007-S008
33.0,12.21,-69.0,11,11,-95.94,O01-S002-S004-S007-S008
33.0,12.21,-66.0,11,11,-107.31,O01-S002-S004-S007-S008
33.0,12.21,-63.0,11,11,-106.78,O01-S002-S004-S007-S008
33.0,12.21,-60.0,11,11,-113.86,O01-S002-S004-S007-S008
33.0,12.21,-57.0,11,10,-81.9,O01-S002-S004-S007-S008
33.0,12.21,-54.0,11,10,-57.44,O01-S002-S004-S007-S008
33.0,12.21,-51.0,10,9,-32.19,O01-S002-S004-S007-S008-S009
33.0,12.21,-48.0,10,9,-18.02,O01-S002-S004-S007-S008-S009
33.0,12.21,-45.0,10,9,-18.56,O01-S002-S004-S007-S008-S009
33.0,12.21,-42.0,11,9,-17.63,O01-S002-S004-S007-S009
33.0,12.21,-39.0,11,10,-17.57,O01-S002-S004-S007-S009
33.0,12.21,-36.0,10,9,-18.59,O01-S002-S004-S007-S009-S014
33.0,12.21,-33.0,9,9,-26.74,O01-S002-S004-S006-S007-S009-S014
33.0,12.21,-30.0,9,9,-43.93,O01-S002-S004-S006-S007-S009-S014
33.0,12.21,-27.0,10,9,-59.07,O01-S002-S006-S007-S009-S014
33.0,12.21,-24.0,10,10,-41.33,O01-S002-S006-S007-S009-S014
33.0,12.21,-21.0,10,10,-28.24,O01-S002-S006-S007-S009-S014
33.0,12.21,-18.0,10,10,-23.97,O01-S002-S006-S007-S009-S014
33.0,12.21,-15.0,11,10,-21.31,O01-S006-S007-S009-S014
33.0,12.21,-12.0,11,11,-17.24,S006-S007-S009-S010-S014
33.0,12.21,-9.0,11,11,-14.45,S006-S007-S009-S010-S014
33.0,12.21,-6.0,12,11,-10.74,S006-S007-S009-S010
33.0,12.21,-3.0,12,12,-6.91,S006-S007-S009-S010
33.0,12.21,0.0,13,13,-3.82,S006-S007-S009
33.0,12.21,3.0,13,13,-2.7,S006-S007-S009
33.0,12.21,6.0,13,12,-6.71,S005-S006-S007
33.0,12.21,9.0,13,12,-13.34,S005-S006-S007
33.0,12.21,12.0,13,10,-16.95,S005-S006-S007
33.0,12.21,15.0,12,11,-17.28,S005-S006-S009-S011
33.0,12.21,18.0,12,11,-22.85,S005-S006-S009-S011
33.0,12.21,21.0,12,11,-20.5,S005-S006-S009-S011
33.0,12.21,24.0,12,11,-20.05,S005-S006-S009-S011
33.0,12.21,27.0,12,12,-26.06,S005-S006-S009-S011
33.0,12.21,30.0,12,10,-28.03,S005-S006-S009-S011
33.0,12.21,33.0,11,10,-24.44,S003-S005-S006-S009-S011
33.0,12.21,36.0,11,10,-22.82,S003-S005-S006-S011-S015
33.0,12.21,39.0,11,11,-35.72,S003-S005-S006-S011-S015
33.0,12.21,42.0,11,11,-45.02,S003-S005-S006-S011-S015
33.0,12.21,45.0,11,11,-48.46,S003-S005-S006-S011-S015
33.0,12.21,48.0,12,12,-45.63,S003-S006-S011-S015
33.0,12.21,51.0,11,11,-33.68,S003-S006-S007-S011-S015
33.0,12.21,54.0,12,11,-52.09,S003-S007-S011-S015
33.0,12.21,57.0,12,11,-68.21,S003-S007-S011-S015
33.0,12.21,60.0,11,10,-84.11,S003-S005-S007-S011-S015
33.0,12.21,63.0,11,10,-99.72,S003-S005-S007-S011-S015
33.0,12.21,66.0,11,9,-99.59,S003-S005-S007-S011-S015
33.0,12.21,69.0,12,10,-108.86,S003-S007-S011-S015
33.0,12.21,72.0,12,9,-112.29,S003-S007-S011-S015
33.0,12.21,75.0,9,8,-115.79,S003-S006-S007-S009-S010-S011-S015
33.0,12.21,78.0,8,7,-118.86,S002-S003-S006-S007-S009-S010-S011-S015
33.0,12.21,81.0,7,7,-117.49,S002-S003-S004-S006-S007-S009-S010-S011-S015
33.0,12.21,84.0,7,7,-111.25,S002-S003-S004-S006-S007-S009-S010-S011-S015
33.0,12.21,87.0,8,7,-105.39,S002-S003-S004-S007-S009-S010-S011-S015
33.0,12.21,90.0,8,8,-100.78,S002-S003-S004-S007-S009-S010-S011-S015
33.0,12.21,93.0,8,7,-94.81,S002-S003-S004-S007-S009-S010-S011-S015
33.0,12.21,96.0,7,7,-88.89,S002-S003-S004-S007-S009-S010-S011-S014-S015
33.0,12.21,99.0,7,7,-84.19,S002-S003-S004-S007-S009-S010-S011-S014-S015
33.0,12.21,102.0,8,8,-78.48,S003-S004-S007-S009-S010-S011-S014-S015
33.0,12.21,105.0,9,8,-66.96,S003-S004-S009-S010-S011-S014-S015
33.0,12.21,108.0,9,9,-58.76,S003-S004-S009-S010-S011-S014-S015
33.0,12.21,111.0,9,8,-50.99,S003-S004-S009-S010-S011-S014-S015
33.0,12.21,114.0,8,8,-45.62,S003-S004-S005-S009-S010-S011-S014-S015
33.0,12.21,117.0,10,9,-40.57,S003-S004-S009-S010-S014-S015
33.0,12.21,120.0,10,8,-36.56,S003-S004-S009-S010-S014-S015
33.0,12.21,123.0,9,9,-33.54,S003-S004-S006-S009-S010-S014-S015
33.0,12.21,126.0,10,9,-31.71,S003-S006-S009-S010-S014-S015
33.0,12.21,129.0,9,8,-33.02,S003-S006-S009-S010-S012-S014-S015
33.0,12.21,132.0,9,8,-51.87,S003-S006-S009-S010-S012-S014-S015
33.0,12.21,135.0,10,8,-71.24,S003-S006-S010-S012-S014-S015
33.0,12.21,138.0,10,8,-67.95,S003-S006-S010-S012-S014-S015
33.0,12.21,141.0,11,8,-67.82,S003-S006-S010-S012-S014
33.0,12.21,144.0,11,7,-76.14,S003-S006-S010-S012-S014
33.0,12.21,147.0,10,7,-81.38,S003-S006-S010-S011-S012-S014
33.0,12.21,150.0,9,8,-83.93,S002-S003-S006-S010-S011-S012-S014
33.0,12.21,153.0,9,7,-89.01,S002-S003-S006-S010-S011-S012-S014
33.0,12.21,156.0,7,7,-92.96,S001-S002-S003-S005-S006-S010-S011-S012-S014
33.0,12.21,159.0,6,6,-83.43,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
33.0,12.21,162.0,6,6,-69.22,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
33.0,12.21,165.0,7,6,-53.85,S001-S002-S003-S005-S006-S008-S011-S012-S014
33.0,12.21,168.0,8,7,-44.85,S001-S002-S003-S005-S006-S011-S012-S014
33.0,12.21,171.0,8,8,-37.4,S001-S002-S003-S005-S006-S011-S012-S014
33.0,12.21,174.0,11,9,-48.11,S001-S003-S011-S012-S014
33.0,12.21,177.0,11,10,-69.25,S001-S003-S011-S012-S014
34.0,12.67,-180.0,11,10,-76.93,S001-S003-S011-S012-S014
34.0,12.67,-177.0,10,10,-73.13,S001-S003-S006-S011-S012-S014
34.0,12.67,-174.0,11,9,-62.99,S003-S006-S011-S012-S014
34.0,12.67,-171.0,12,10,-53.96,S003-S006-S012-S014
34.0,12.67,-168.0,10,7,-53.28,O01-S003-S004-S006-S012-S014
34.0,12.67,-165.0,10,8,-48.31,O01-S003-S004-S006-S012-S014
34.0,12.67,-162.0,12,7,-45.43,S004-S012-S013-S014
34.0,12.67,-159.0,10,9,-39.43,S004-S007-S011-S012-S013-S014
34.0,12.67,-156.0,10,10,-30.25,S004-S007-S011-S012-S013-S014
34.0,12.67,-153.0,10,10,-20.93,S004-S007-S011-S012-S013-S014
34.0,12.67,-150.0,10,10,-23.72,S004-S007-S011-S012-S013-S014
34.0,12.67,-147.0,10,10,-24.75,S004-S007-S011-S012-S013-S014
34.0,12.67,-144.0,10,10,-23.72,S004-S007-S011-S012-S013-S014
34.0,12.67,-141.0,10,10,-22.92,S004-S007-S011-S012-S013-S014
34.0,12.67,-138.0,11,11,-23.17,S004-S007-S011-S012-S013
34.0,12.67,-135.0,11,11,-18.3,S004-S007-S011-S012-S013
34.0,12.67,-132.0,11,11,-15.09,S004-S007-S011-S012-S013
34.0,12.67,-129.0,11,11,-11.65,S004-S007-S011-S012-S013
34.0,12.67,-126.0,13,12,-22.61,S004-S007-S013
34.0,12.67,-123.0,13,13,-45.11,S004-S007-S013
34.0,12.67,-120.0,13,13,-51.14,S004-S007-S013
34.0,12.67,-117.0,13,13,-33.44,S004-S007-S013
34.0,12.67,-114.0,13,13,-14.59,S004-S007-S013
34.0,12.67,-111.0,13,13,-12.16,S004-S007-S013
34.0,12.67,-108.0,13,13,-16.53,S004-S007-S013
34.0,12.67,-105.0,13,13,-20.3,S004-S007-S013
34.0,12.67,-102.0,14,13,-21.21,S004-S007
34.0,12.67,-99.0,14,13,-18.41,S004-S007
34.0,12.67,-96.0,14,13,-19.87,S004-S007
34.0,12.67,-93.0,14,13,-20.85,S004-S007
34.0,12.67,-90.0,14,12,-21.85,S004-S007
34.0,12.67,-87.0,13,13,-27.7,O01-S004-S007
34.0,12.67,-84.0,13,13,-43.26,O01-S004-S007
34.0,12.67,-81.0,13,12,-45.19,O01-S004-S007
34.0,12.67,-78.0,13,12,-48.55,O01-S004-S007
34.0,12.67,-75.0,11,11,-44.41,O01-S002-S004-S007-S008
34.0,12.67,-72.0,11,11,-61.27,O01-S002-S004-S007-S008
34.0,12.67,-69.0,11,11,-90.02,O01-S002-S004-S007-S008
34.0,12.67,-66.0,11,11,-100.23,O01-S002-S004-S007-S008
34.0,12.67,-63.0,11,11,-99.48,O01-S002-S004-S007-S008
34.0,12.67,-60.0,11,11,-107.91,O01-S002-S004-S007-S008
34.0,12.67,-57.0,11,11,-75.16,O01-S002-S004-S007-S008
34.0,12.67,-54.0,11,10,-50.12,O01-S002-S004-S007-S008
34.0,12.67,-51.0,11,9,-24.91,O01-S002-S004-S007-S008
34.0,12.67,-48.0,10,9,-17.52,O01-S002-S004-S007-S008-S009
34.0,12.67,-45.0,10,9,-17.05,O01-S002-S004-S007-S008-S009
34.0,12.67,-42.0,11,10,-16.43,O01-S002-S004-S007-S009
34.0,12.67,-39.0,11,10,-15.99,O01-S002-S004-S007-S009
34.0,12.67,-36.0,10,9,-16.85,O01-S002-S004-S007-S009-S014
34.0,12.67,-33.0,10,9,-21.5,O01-S002-S004-S007-S009-S014
34.0,12.67,-30.0,9,9,-37.72,O01-S002-S004-S006-S007-S009-S014
34.0,12.67,-27.0,10,9,-53.07,O01-S002-S006-S007-S009-S014
34.0,12.67,-24.0,10,10,-34.96,O01-S002-S006-S007-S009-S014
34.0,12.67,-21.0,10,10,-26.15,O01-S002-S006-S007-S009-S014
34.0,12.67,-18.0,10,10,-21.97,O01-S002-S006-S007-S009-S014
34.0,12.67,-15.0,12,12,-17.51,S006-S007-S009-S014
34.0,12.67,-12.0,12,11,-15.46,S006-S007-S009-S014
34.0,12.67,-9.0,11,11,-12.76,S006-S007-S009-S010-S014
34.0,12.67,-6.0,12,12,-9.04,S006-S007-S009-S010
34.0,12.67,-3.0,13,12,-5.2,S006-S007-S009
34.0,12.67,0.0,13,13,-3.34,S006-S007-S009
34.0,12.67,3.0,14,13,-2.47,S006-S007
34.0,12.67,6.0,13,13,-2.67,S005-S006-S007
34.0,12.67,9.0,13,13,-8.8,S005-S006-S007
34.0,12.67,12.0,14,13,-12.28,S005-S006
34.0,12.67,15.0,14,11,-14.84,S005-S006
34.0,12.67,18.0,13,11,-20.37,S005-S006-S011
34.0,12.67,21.0,13,12,-18.28,S005-S006-S011
34.0,12.67,24.0,12,12,-17.23,S005-S006-S009-S011
34.0,12.67,27.0,12,12,-22.75,S005-S006-S009-S011
34.0,12.67,30.0,12,12,-24.95,S005-S006-S009-S011
34.0,12.67,33.0,11,10,-21.43,S003-S005-S006-S009-S011
34.0,12.67,36.0,11,11,-19.12,S003-S005-S006-S011-S015
34.0,12.67,39.0,11,11,-30.4,S003-S005-S006-S011-S015
34.0,12.67,42.0,11,11,-39.35,S003-S005-S006-S011-S015
34.0,12.67,45.0,12,11,-42.64,S003-S006-S011-S015
34.0,12.67,48.0,12,12,-39.76,S003-S006-S011-S015
34.0,12.67,51.0,11,11,-27.93,S003-S006-S007-S011-S015
34.0,12.67,54.0,12,11,-47.66,S003-S007-S011-S015
34.0,12.67,57.0,12,11,-63.21,S003-S007-S011-S015
34.0,12.67,60.0,12,11,-79.45,S003-S007-S011-S015
34.0,12.67,63.0,11,11,-94.07,S003-S005-S007-S011-S015
34.0,12.67,66.0,12,11,-95.26,S003-S007-S011-S015
34.0,12.67,69.0,12,10,-103.85,S003-S007-S011-S015
34.0,12.67,72.0,12,10,-108.19,S003-S007-S011-S015
34.0,12.67,75.0,10,9,-111.19,S003-S007-S009-S010-S011-S015
34.0,12.67,78.0,8,7,-114.37,S002-S003-S006-S007-S009-S010-S011-S015
34.0,12.67,81.0,8,7,-113.08,S002-S003-S006-S007-S009-S010-S011-S015
34.0,12.67,84.0,7,7,-108.2,S002-S003-S004-S006-S007-S009-S010-S011-S015
34.0,12.67,87.0,8,8,-101.33,S002-S003-S004-S007-S009-S010-S011-S015
34.0,12.67,90.0,8,8,-96.96,S002-S003-S004-S007-S009-S010-S011-S015
34.0,12.67,93.0,8,8,-91.29,S002-S003-S004-S007-S009-S010-S011-S015
34.0,12.67,96.0,8,7,-85.61,S002-S003-S004-S007-S009-S010-S011-S015
34.0,12.67,99.0,8,7,-81.02,S003-S004-S007-S009-S010-S011-S014-S015
34.0,12.67,102.0,8,8,-74.37,S003-S004-S007-S009-S010-S011-S014-S015
34.0,12.67,105.0,9,8,-63.08,S003-S004-S009-S010-S011-S014-S015
34.0,12.67,108.0,9,9,-55.04,S003-S004-S009-S010-S011-S014-S015
34.0,12.67,111.0,9,9,-48.53,S003-S004-S009-S010-S011-S014-S015
34.0,12.67,114.0,9,9,-43.6,S003-S004-S009-S010-S011-S014-S015
34.0,12.67,117.0,10,9,-38.57,S003-S004-S009-S010-S014-S015
34.0,12.67,120.0,10,9,-34.59,S003-S004-S009-S010-S014-S015
34.0,12.67,123.0,11,9,-31.59,S003-S009-S010-S014-S015
34.0,12.67,126.0,10,9,-29.76,S003-S006-S009-S010-S014-S015
34.0,12.67,129.0,10,8,-29.63,S003-S006-S009-S010-S014-S015
34.0,12.67,132.0,9,8,-45.9,S003-S006-S009-S010-S012-S014-S015
34.0,12.67,135.0,10,8,-65.25,S003-S006-S010-S012-S014-S015
34.0,12.67,138.0,10,8,-62.36,S003-S006-S010-S012-S014-S015
34.0,12.67,141.0,11,8,-62.23,S003-S006-S010-S012-S014
34.0,12.67,144.0,11,7,-70.46,S003-S006-S010-S012-S014
34.0,12.67,147.0,10,8,-75.5,S003-S006-S010-S011-S012-S014
34.0,12.67,150.0,9,8,-78.02,S002-S003-S006-S010-S011-S012-S014
34.0,12.67,153.0,9,9,-83.39,S002-S003-S006-S010-S011-S012-S014
34.0,12.67,156.0,8,7,-87.31,S001-S002-S003-S006-S010-S011-S012-S014
34.0,12.67,159.0,6,6,-77.17,S001-S002-S003-S005-S006-S008-S010-S011-S012-S014
34.0,12.67,162.0,7,6,-63.66,S001-S002-S003-S005-S006-S008-S011-S012-S014
34.0,12.67,165.0,7,6,-47.92,S001-S002-S003-S005-S006-S008-S011-S012-S014
34.0,12.67,168.0,8,8,-39.32,S001-S002-S003-S005-S006-S011-S012-S014
34.0,12.67,171.0,8,8,-31.71,S001-S002-S003-S005-S006-S011-S012-S014
34.0,12.67,174.0,11,10,-42.31,S001-S003-S011-S012-S014
34.0,12.67,177.0,11,11,-63.49,S001-S003-S011-S012-S014
35.0,13.14,-180.0,11,11,-71.03,S001-S003-S011-S012-S014
35.0,13.14,-177.0,13,10,-67.19,S003-S012-S014
35.0,13.14,-174.0,12,11,-57.42,S003-S006-S012-S014
35.0,13.14,-171.0,12,11,-47.8,S003-S006-S012-S014
35.0,13.14,-168.0,12,10,-47.41,S003-S006-S012-S014
35.0,13.14,-165.0,13,9,-42.52,S004-S012-S014
35.0,13.14,-162.0,12,10,-40.18,S004-S012-S013-S014
35.0,13.14,-159.0,10,10,-34.42,S004-S007-S011-S012-S013-S014
35.0,13.14,-156.0,10,10,-25.35,S004-S007-S011-S012-S013-S014
35.0,13.14,-153.0,10,10,-16.26,S004-S007-S011-S012-S013-S014
35.0,13.14,-150.0,10,10,-18.83,S004-S007-S011-S012-S013-S014
35.0,13.14,-147.0,10,10,-20.18,S004-S007-S011-S012-S013-S014
35.0,13.14,-144.0,10,10,-21.41,S004-S007-S011-S012-S013-S014
35.0,13.14,-141.0,10,10,-20.55,S004-S007-S011-S012-S013-S014
35.0,13.14,-138.0,11,11,-20.23,S004-S007-S011-S012-S013
35.0,13.14,-135.0,11,11,-15.45,S004-S007-S011-S012-S013
35.0,13.14,-132.0,11,11,-12.23,S004-S007-S011-S012-S013
35.0,13.14,-129.0,12,11,-10.38,S004-S007-S011-S013
35.0,13.14,-126.0,13,13,-12.55,S004-S007-S013
35.0,13.14,-123.0,13,13,-35.21,S004-S007-S013
35.0,13.14,-120.0,13,13,-41.34,S004-S007-S013
35.0,13.14,-117.0,13,13,-24.28,S004-S007-S013
35.0,13.14,-114.0,13,13,-11.62,S004-S007-S013
35.0,13.14,-111.0,13,13,-10.85,S004-S007-S013
35.0,13.14,-108.0,13,13,-13.38,S004-S007-S013
35.0,13.14,-105.0,14,13,-17.14,S004-S007
35.0,13.14,-102.0,14,13,-18.45,S004-S007
35.0,13.14,-99.0,14,13,-15.62,S004-S007
35.0,13.14,-96.0,14,13,-17.15,S004-S007
35.0,13.14,-93.0,14,13,-18.17,S004-S007
35.0,13.14,-90.0,14,14,-19.85,S004-S007
35.0,13.14,-87.0,14,13,-22.89,S004-S007
35.0,13.14,-84.0,13,13,-38.05,O01-S004-S007
35.0,13.14,-81.0,13,13,-39.2,O01-S004-S007
35.0,13.14,-78.0,13,12,-43.18,O01-S004-S007
35.0,13.14,-75.0,13,12,-38.84,O01-S004-S007
35.0,13.14,-72.0,12,11,-54.83,O01-S004-S007-S008
35.0,13.14,-69.0,11,11,-83.98,O01-S002-S004-S007-S008
35.0,13.14,-66.0,11,11,-93.0,O01-S002-S004-S007-S008
35.0,13.14,-63.0,12,11,-92.04,O01-S002-S004-S007
35.0,13.14,-60.0,12,11,-101.54,O01-S002-S004-S007
35.0,13.14,-57.0,12,11,-68.33,O01-S002-S004-S007
35.0,13.14,-54.0,11,11,-42.41,O01-S002-S004-S007-S008
35.0,13.14,-51.0,11,10,-17.58,O01-S002-S004-S007-S008
35.0,13.14,-48.0,10,9,-17.01,O01-S002-S004-S007-S008-S009
35.0,13.14,-45.0,11,9,-16.46,O01-S002-S004-S007-S009
35.0,13.14,-42.0,11,10,-15.92,O01-S002-S004-S007-S009
35.0,13.14,-39.0,11,10,-15.4,O01-S002-S004-S007-S009
35.0,13.14,-36.0,10,9,-15.07,O01-S002-S004-S007-S009-S014
35.0,13.14,-33.0,10,9,-17.47,O01-S002-S004-S007-S009-S014
35.0,13.14,-30.0,11,9,-31.38,O01-S002-S007-S009-S014
35.0,13.14,-27.0,10,10,-46.43,O01-S002-S006-S007-S009-S014
35.0,13.14,-24.0,11,10,-28.43,S002-S006-S007-S009-S014
35.0,13.14,-21.0,11,10,-24.03,S002-S006-S007-S009-S014
35.0,13.14,-18.0,13,10,-19.92,S006-S007-S009
35.0,13.14,-15.0,12,12,-15.67,S006-S007-S009-S014
35.0,13.14,-12.0,13,13,-13.63,S006-S007-S009
35.0,13.14,-9.0,13,12,-11.04,S006-S007-S009
35.0,13.14,-6.0,13,12,-7.31,S006-S007-S009
35.0,13.14,-3.0,13,13,-4.11,S006-S007-S009
35.0,13.14,0.0,14,13,-2.84,S006-S007
35.0,13.14,3.0,14,14,-2.22,S006-S007
35.0,13.14,6.0,14,14,-2.43,S006-S007
35.0,13.14,9.0,13,13,-4.19,S005-S006-S007
35.0,13.14,12.0,14,13,-7.51,S005-S006
35.0,13.14,15.0,14,12,-12.46,S005-S006
35.0,13.14,18.0,13,12,-17.85,S005-S006-S011
35.0,13.14,21.0,13,13,-16.02,S005-S006-S011
35.0,13.14,24.0,13,12,-14.37,S005-S006-S011
35.0,13.14,27.0,13,12,-19.38,S005-S006-S011
35.0,13.14,30.0,12,12,-21.82,S005-S006-S009-S011
35.0,13.14,33.0,12,10,-18.35,S003-S005-S006-S011
35.0,13.14,36.0,12,11,-16.02,S003-S005-S006-S011
35.0,13.14,39.0,11,11,-24.97,S003-S005-S006-S011-S015
35.0,13.14,42.0,11,11,-33.56,S003-S005-S006-S011-S015
35.0,13.14,45.0,12,12,-36.7,S003-S006-S011-S015
35.0,13.14,48.0,12,12,-33.77,S003-S006-S011-S015
35.0,13.14,51.0,13,12,-22.32,S003-S011-S015
35.0,13.14,54.0,12,11,-43.17,S003-S007-S011-S015
35.0,13.14,57.0,12,11,-58.1,S003-S007-S011-S015
35.0,13.14,60.0,12,11,-74.71,S003-S007-S011-S015
35.0,13.14,63.0,12,12,-88.27,S003-S007-S011-S015
35.0,13.14,66.0,12,12,-90.87,S003-S007-S011-S015
35.0,13.14,69.0,12,11,-98.74,S003-S007-S011-S015
35.0,13.14,72.0,12,10,-104.02,S003-S007-S011-S015
35.0,13.14,75.0,11,10,-106.49,S003-S007-S009-S011-S015
35.0,13.14,78.0,9,8,-109.78,S003-S006-S007-S009-S010-S011-S015
35.0,13.14,81.0,8,8,-108.57,S002-S003-S006-S007-S009-S010-S011-S015
35.0,13.14,84.0,9,7,-105.13,S002-S003-S007-S009-S010-S011-S015
35.0,13.14,87.0,9,8,-97.19,S002-S003-S007-S009-S010-S011-S015
35.0,13.14,90.0,9,8,-93.06,S002-S003-S007-S009-S010-S011-S015
35.0,13.14,93.0,8,8,-87.72,S002-S003-S004-S007-S009-S010-S011-S015
35.0,13.14,96.0,8,7,-82.3,S002-S003-S004-S007-S009-S010-S011-S015
35.0,13.14,99.0,8,8,-77.28,S003-S004-S007-S009-S010-S011-S014-S015
35.0,13.14,102.0,9,8,-70.18,S003-S004-S009-S010-S011-S014-S015
35.0,13.14,105.0,9,9,-59.12,S003-S004-S009-S010-S011-S014-S015
35.0,13.14,108.0,9,9,-51.24,S003-S004-S009-S010-S011-S014-S015
35.0,13.14,111.0,9,9,-46.56,S003-S004-S009-S010-S011-S014-S015
35.0,13.14,114.0,10,9,-41.54,S003-S004-S009-S010-S014-S015
35.0,13.14,117.0,10,9,-36.54,S003-S004-S009-S010-S014-S015
35.0,13.14,120.0,10,9,-32.57,S003-S004-S009-S010-S014-S015
35.0,13.14,123.0,11,10,-29.61,S003-S009-S010-S014-S015
35.0,13.14,126.0,10,9,-27.76,S003-S006-S009-S010-S014-S015
35.0,13.14,129.0,10,9,-27.6,S003-S006-S009-S010-S014-S015
35.0,13.14,132.0,10,8,-39.83,S003-S006-S010-S012-S014-S015
35.0,13.14,135.0,10,8,-59.13,S003-S006-S010-S012-S014-S015
35.0,13.14,138.0,11,8,-56.57,S003-S006-S010-S012-S014
35.0,13.14,141.0,11,8,-56.54,S003-S006-S010-S012-S014
35.0,13.14,144.0,11,10,-64.66,S003-S006-S010-S012-S014
35.0,13.14,147.0,11,10,-69.49,S003-S006-S010-S012-S014
35.0,13.14,150.0,10,9,-71.96,S002-S003-S006-S010-S012-S014
35.0,13.14,153.0,9,9,-77.67,S002-S003-S006-S010-S011-S012-S014
35.0,13.14,156.0,9,7,-81.16,S002-S003-S006-S010-S011-S012-S014
35.0,13.14,159.0,7,7,-70.7,S001-S002-S003-S005-S006-S010-S011-S012-S014
35.0,13.14,162.0,8,6,-58.06,S001-S002-S003-S005-S006-S011-S012-S014
35.0,13.14,165.0,9,7,-42.11,S001-S002-S003-S005-S006-S012-S014
35.0,13.14,168.0,9,8,-33.69,S001-S002-S003-S005-S006-S012-S014
35.0,13.14,171.0,10,8,-25.9,S001-S002-S003-S006-S012-S014
35.0,13.14,174.0,11,11,-36.4,S001-S003-S011-S012-S014
35.0,13.14,177.0,11,11,-57.88,S001-S003-S011-S012-S014
36.0,13.61,-180.0,13,11,-65.22,S003-S012-S014
36.0,13.61,-177.0,13,12,-61.12,S003-S012-S014
36.0,13.61,-174.0,13,12,-51.73,S003-S012-S014
36.0,13.61,-171.0,12,11,-41.5,S003-S006-S012-S014
36.0,13.61,-168.0,14,11,-41.22,S012-S014
36.0,13.61,-165.0,13,10,-36.6,S004-S012-S014
36.0,13.61,-162.0,13,10,-34.83,S004-S012-S014
36.0,13.61,-159.0,13,10,-29.3,S004-S013-S014
36.0,13.61,-156.0,11,10,-20.34,S004-S007-S011-S013-S014
36.0,13.61,-153.0,11,10,-12.48,S004-S007-S011-S013-S014
36.0,13.61,-150.0,11,10,-14.41,S004-S007-S011-S013-S014
36.0,13.61,-147.0,10,10,-17.32,S004-S007-S011-S012-S013-S014
36.0,13.61,-144.0,10,10,-19.06,S004-S007-S011-S012-S013-S014
36.0,13.61,-141.0,10,10,-18.1,S004-S007-S011-S012-S013-S014
36.0,13.61,-138.0,11,11,-17.23,S004-S007-S011-S012-S013
36.0,13.61,-135.0,11,11,-12.53,S004-S007-S011-S012-S013
36.0,13.61,-132.0,11,11,-9.31,S004-S007-S011-S012-S013
36.0,13.61,-129.0,13,11,-9.08,S004-S007-S013
36.0,13.61,-126.0,13,13,-8.48,S004-S007-S013
