服务区编号,机型编号,DEM最高高程（m）,密集采样点数,球面水平距离（m）,WGS84水平距离（m）,上次载荷（kg）,球面复算载荷（kg）,WGS84复算载荷（kg）,WGS84-上次（kg）,WGS84空载能耗（kWh）,WGS84额定满载能耗（kWh）,WGS84边界残差（kWh）
S008,C,322.9093322753906,5114,8109.473184927932,8079.033112393255,58.435840766971026,58.435840766971225,58.90535376866331,0.4695130016922846,5.063538737396343,8.037923053333001,2.930988785010413e-14
S009,A,243.22891235351562,3370,5722.680393214653,5705.144962213574,25.0,25.0,25.0,0.0,2.1144364281084704,2.3868246268356623,-1.2131753731643378
S009,B,243.22891235351562,3370,5722.680393214653,5705.144962213574,30.0,30.0,30.0,0.0,1.686298213650349,2.316351755829186,-0.8836482441708142
S009,C,243.22891235351562,3370,5722.680393214653,5705.144962213574,80.0,80.0,80.0,0.0,3.5713561310801296,5.6694582481147995,-0.7305417518852009
S010,A,385.63653564453125,3253,4778.43990162097,4784.494851376283,25.0,25.0,25.0,0.0,1.8262283279649765,2.0706570027900115,-1.5293429972099886
S010,B,385.63653564453125,3253,4778.43990162097,4784.494851376283,30.0,30.0,30.0,0.0,1.463393697472059,2.010969833649526,-1.189030166350474
S010,C,385.63653564453125,3253,4778.43990162097,4784.494851376283,80.0,80.0,80.0,0.0,3.047966405134139,4.8586818782649885,-1.5413181217350118
S011,A,245.36175537109375,1687,2817.1517251516107,2808.074232654385,25.0,25.0,25.0,0.0,1.0773613276380598,1.219583080080018,-2.3804169199199823
S011,B,245.36175537109375,1687,2817.1517251516107,2808.074232654385,30.0,30.0,30.0,0.0,0.8640147700778426,1.1839099608006824,-2.0160900391993177
S011,C,245.36175537109375,1687,2817.1517251516107,2808.074232654385,80.0,80.0,80.0,0.0,1.7944053503675452,2.8531789162991035,-3.546821083700897
S012,A,363.3009948730469,3766,7398.449561287365,7390.491686736581,25.0,25.0,25.0,0.0,2.771572013761453,3.1311579224228145,-0.46884207757718555
S012,B,363.3009948730469,3766,7398.449561287365,7390.491686736581,30.0,30.0,30.0,0.0,2.214635845137001,3.03889077945435,-0.16110922054565036
S012,C,363.3009948730469,3766,7398.449561287365,7390.491686736581,68.01467178965129,68.01467178965129,68.11816679987433,0.10349501022304253,4.658831326386821,7.398272446964703,0.0
S013,A,349.18182373046875,2920,4848.706999909826,4849.242377012176,25.0,25.0,25.0,0.0,1.8302016151904699,2.0740958325985948,-1.5259041674014053
S013,B,349.18182373046875,2920,4848.706999909826,4849.242377012176,30.0,30.0,30.0,0.0,1.4639382986505594,2.0143139544329562,-1.185686045567044
S013,C,349.18182373046875,2920,4848.706999909826,4849.242377012176,80.0,80.0,80.0,0.0,3.0685028368941225,4.891427104109612,-1.5085728958903886
S014,A,541.9473876953125,3799,5410.9170943694,5419.601857894197,25.0,25.0,25.0,0.0,2.1378205130108587,2.4256137814592904,-1.1743862185407097
S014,B,541.9473876953125,3799,5410.9170943694,5419.601857894197,30.0,30.0,30.0,0.0,1.7218812432695079,2.3552462927128603,-0.8447537072871398
S014,C,541.9473876953125,3799,5410.9170943694,5419.601857894197,80.0,80.0,80.0,0.0,3.521636643535245,5.6076505378672765,-0.7923494621327238
S015,A,521.7992553710938,2950,6019.113948538039,6009.382971459367,25.0,25.0,25.0,0.0,2.3067618972623674,2.619189589723071,-0.9808104102769293
S015,B,521.7992553710938,2950,6019.113948538039,6009.382971459367,30.0,30.0,30.0,0.0,1.8501088745584575,2.5443778862802855,-0.6556221137197147
S015,C,521.7992553710938,2950,6019.113948538039,6009.382971459367,80.0,80.0,80.0,0.0,3.841261021802322,6.13289288979748,-0.2671071102025202
