返航余量（%）,服务区编号,机型编号,最大安全载荷（kg）,该服务区可完成,全任务架次,全任务能耗（kWh）,全任务累计时间（s）
40.0,S011,C,80.0,True,nan,nan,nan
40.0,S012,A,,True,nan,nan,nan
40.0,S012,B,14.032412398056481,True,nan,nan,nan
40.0,S012,C,16.303965865830982,True,nan,nan,nan
40.0,S013,A,25.0,True,nan,nan,nan
40.0,S013,B,30.0,True,nan,nan,nan
40.0,S013,C,78.69194145974187,True,nan,nan,nan
40.0,S014,A,25.0,True,nan,nan,nan
40.0,S014,B,30.0,True,nan,nan,nan
40.0,S014,C,66.91577345477245,True,nan,nan,nan
40.0,S015,A,25.0,True,nan,nan,nan
40.0,S015,B,27.121664298493716,True,nan,nan,nan
40.0,S015,C,56.15891293774043,True,nan,nan,nan
50.0,S001,A,25.0,True,nan,nan,nan
50.0,S001,B,30.0,True,nan,nan,nan
50.0,S001,C,80.0,True,nan,nan,nan
50.0,S002,A,,False,nan,nan,nan
50.0,S002,B,,False,nan,nan,nan
50.0,S002,C,,False,nan,nan,nan
50.0,S003,A,,False,nan,nan,nan
50.0,S003,B,,False,nan,nan,nan
50.0,S003,C,,False,nan,nan,nan
50.0,S004,A,,False,nan,nan,nan
50.0,S004,B,,False,nan,nan,nan
50.0,S004,C,,False,nan,nan,nan
50.0,S005,A,24.80912432252056,True,nan,nan,nan
50.0,S005,B,25.550431858318213,True,nan,nan,nan
50.0,S005,C,50.82935056812903,True,nan,nan,nan
50.0,S006,A,25.0,True,nan,nan,nan
50.0,S006,B,30.0,True,nan,nan,nan
50.0,S006,C,80.0,True,nan,nan,nan
50.0,S007,A,25.0,True,nan,nan,nan
50.0,S007,B,30.0,True,nan,nan,nan
50.0,S007,C,66.67348771156364,True,nan,nan,nan
50.0,S008,A,,False,nan,nan,nan
50.0,S008,B,,False,nan,nan,nan
50.0,S008,C,,False,nan,nan,nan
50.0,S009,A,16.132634510510915,True,nan,nan,nan
50.0,S009,B,21.78456348228478,True,nan,nan,nan
50.0,S009,C,38.910478966389356,True,nan,nan,nan
50.0,S010,A,25.0,True,nan,nan,nan
50.0,S010,B,29.81151202606995,True,nan,nan,nan
50.0,S010,C,62.86539965860208,True,nan,nan,nan
50.0,S011,A,25.0,True,nan,nan,nan
50.0,S011,B,30.0,True,nan,nan,nan
50.0,S011,C,80.0,True,nan,nan,nan
50.0,S012,A,,False,nan,nan,nan
50.0,S012,B,,False,nan,nan,nan
50.0,S012,C,,False,nan,nan,nan
50.0,S013,A,25.0,True,nan,nan,nan
50.0,S013,B,29.69240527469485,True,nan,nan,nan
50.0,S013,C,62.05197354447736,True,nan,nan,nan
50.0,S014,A,14.132389900245727,True,nan,nan,nan
50.0,S014,B,20.409480449194096,True,nan,nan,nan
50.0,S014,C,41.08800276302504,True,nan,nan,nan
50.0,S015,A,,True,nan,nan,nan
50.0,S015,B,13.312836069303774,True,nan,nan,nan
50.0,S015,C,18.810955466149924,True,nan,nan,nan
