起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
S003,S006,4800.9434810431785,338.51068115234375,305.1272277832031,612.3626708984375,662.3626708984375,323.85198974609375,357.2354431152344,229
S003,S007,2734.2604355003687,338.51068115234375,344.2220458984375,360.6993408203125,410.6993408203125,72.18865966796875,66.477294921875,126
S003,S008,6254.0682125280555,338.51068115234375,278.2891845703125,746.0787353515625,796.0787353515625,457.56805419921875,517.78955078125,300
S003,S009,8897.53655121922,338.51068115234375,219.4370880126953,544.588134765625,594.588134765625,256.07745361328125,375.1510467529297,362
S003,S010,11224.339839391723,338.51068115234375,351.5816650390625,466.96417236328125,516.9641723632812,178.4534912109375,165.38250732421875,462
S003,S011,5356.616785615898,338.51068115234375,208.04286193847656,485.42230224609375,535.4223022460938,196.91162109375,327.3794403076172,216
S003,S012,11816.960696393808,338.51068115234375,283.31507873535156,544.5889282226562,594.5889282226562,256.0782470703125,311.2738494873047,463
S003,S013,10557.565748131803,338.51068115234375,351.70806884765625,505.94439697265625,555.9443969726562,217.4337158203125,204.236328125,403
S003,S014,12385.712496508626,338.51068115234375,350.9825134277344,542.7295532226562,592.7295532226562,254.2188720703125,241.74703979492188,540
S003,S015,2616.3665594622953,338.51068115234375,466.229248046875,437.89886474609375,487.89886474609375,149.38818359375,21.66961669921875,119
S004,O01,7714.69454861146,225.11575317382812,128.7255401611328,348.2391662597656,398.2391662597656,173.1234130859375,269.5136260986328,276
S004,S001,4927.676735706319,225.11575317382812,183.96136474609375,358.7777404785156,408.7777404785156,183.6619873046875,224.81637573242188,179
S004,S002,2248.017656918333,225.11575317382812,218.7942352294922,283.658203125,333.658203125,108.54244995117188,114.86396789550781,102
S004,S003,8231.977704387176,225.11575317382812,338.51068115234375,674.2682495117188,724.2682495117188,499.1524963378906,385.757568359375,385
S004,S005,2608.1403442827377,225.11575317382812,199.03955078125,315.80657958984375,365.80657958984375,140.69082641601562,166.76702880859375,114
S004,S006,8705.952748348886,225.11575317382812,305.1272277832031,375.2806396484375,425.2806396484375,200.16488647460938,120.15341186523438,391
S004,S007,7096.417576008999,225.11575317382812,344.2220458984375,543.2369995117188,593.2369995117188,368.1212463378906,249.01495361328125,338
S004,S008,2611.5962906666523,225.11575317382812,278.2891845703125,336.83349609375,386.83349609375,161.71774291992188,108.5443115234375,98
S004,S009,2985.0882671440727,225.11575317382812,219.4370880126953,275.2157897949219,325.2157897949219,100.10003662109375,105.77870178222656,140
S004,S010,7545.20377852379,225.11575317382812,351.5816650390625,432.957275390625,482.957275390625,257.8415222167969,131.3756103515625,348
S004,S011,5403.732853175252,225.11575317382812,208.04286193847656,311.138916015625,361.138916015625,136.02316284179688,153.09605407714844,230
S004,S012,5285.127151136411,225.11575317382812,283.31507873535156,312.0069580078125,362.0069580078125,136.89120483398438,78.69187927246094,247
