运输架次编号,通信阶段,开始时刻_s,结束时刻_s,保障方式,中继架次编号
T13,巡航,2680.8562990953956,2832.1725335999436,直连,
T13,巡航,2832.1725335999436,3286.1212371135866,中继,RS01
T13,下降,3286.1212371135866,3375.442892387024,中继,RS01
T13,投送,3375.442892387024,3585.442892387024,中继,RS01
T13,爬升,3585.442892387024,3659.877605114889,中继,RS01
T13,巡航,3659.877605114889,4113.8263086285315,中继,RS01
T13,巡航,4113.8263086285315,4265.142543133079,直连,
T13,下降,4265.142543133079,4438.784198406516,直连,
T14,爬升,2914.4425919491496,2972.585235992118,直连,
T14,巡航,2972.585235992118,3125.2841781663637,直连,
T14,巡航,3125.2841781663637,3176.183825557779,中继,RS01
T14,下降,3176.183825557779,3220.71213061149,直连,
T14,投送,3220.71213061149,3544.71213061149,直连,
T14,爬升,3544.71213061149,3617.8269987755525,直连,
T14,巡航,3617.8269987755525,4015.7075591102366,中继,RS01
T14,下降,4015.7075591102366,4063.651144315315,中继,RS01
T14,投送,4063.651144315315,4315.651144315315,中继,RS01
T14,爬升,4315.651144315315,4356.454877225471,中继,RS01
T14,巡航,4356.454877225471,4698.0,中继,RS01
T14,巡航,4698.0,4895.057084718348,直连,
T14,下降,4895.057084718348,5017.661750856043,直连,
T15,爬升,2990.0,3143.7092700195312,直连,
T15,巡航,3143.7092700195312,3370.4322983500665,直连,
T15,巡航,3370.4322983500665,3446.0066411269117,中继,RS01
T15,下降,3446.0066411269117,3527.743228651326,中继,RS01
T15,投送,3527.743228651326,3743.743228651326,中继,RS01
T15,爬升,3743.743228651326,3768.6229649794504,中继,RS01
T15,巡航,3768.6229649794504,3950.907073157246,中继,RS01
T15,下降,3950.907073157246,3987.0067435674023,中继,RS01
T15,投送,3987.0067435674023,4383.006743567403,中继,RS01
T15,爬升,4383.006743567403,4472.32839884084,中继,RS01
T15,巡航,4472.32839884084,4698.0,中继,RS01
T15,巡航,4698.0,4956.540349255392,直连,
T15,下降,4956.540349255392,5173.592418347189,直连,
T16,爬升,3456.0,3537.736444091797,直连,
T16,巡航,3537.736444091797,3672.386995965018,直连,
T16,巡航,3672.386995965018,4076.3386515846805,中继,RS01
T16,下降,4076.3386515846805,4117.142384494837,中继,RS01
T16,投送,4117.142384494837,4357.142384494837,中继,RS01
T16,爬升,4357.142384494837,4391.1454952533,中继,RS01
T16,巡航,4391.1454952533,4698.0,中继,RS01
T16,巡航,4698.0,4929.747702746177,直连,
T16,下降,4929.747702746177,5027.831435656333,直连,
T17,爬升,5418.0,5473.176304117838,直连,
T17,巡航,5473.176304117838,5663.347802858291,直连,
T17,巡航,5663.347802858291,5853.519301598743,中继,RS02
T17,下降,5853.519301598743,5878.81086654015,中继,RS02
T17,投送,5878.81086654015,6118.81086654015,中继,RS02
T17,爬升,6118.81086654015,6139.8871706579885,中继,RS02
T17,巡航,6139.8871706579885,6337.041086129719,中继,RS02
T17,巡航,6337.041086129719,6520.230168138897,直连,
T17,下降,6520.230168138897,6586.4417330803035,直连,
T18,爬升,5709.0,5776.064702148437,直连,
T18,巡航,5776.064702148437,5963.269650992063,直连,
T18,下降,5963.269650992063,6004.90052867761,直连,
T18,投送,6004.90052867761,6292.90052867761,直连,
T18,爬升,6292.90052867761,6352.51609508386,直连,
T18,巡航,6352.51609508386,6402.759057953629,直连,
T18,巡航,6402.759057953629,6712.765064953535,中继,RS03
T18,下降,6712.765064953535,6779.184522961347,中继,RS03
T18,投送,6779.184522961347,7031.184522961347,中继,RS03
T18,爬升,7031.184522961347,7099.160189465254,中继,RS03
T18,巡航,7099.160189465254,7350.0,中继,RS03
T18,巡航,7350.0,7613.473286072531,直连,
T18,下降,7613.473286072531,7748.742869202413,直连,
T19,爬升,5972.0,6062.179722086588,直连,
T19,巡航,6062.179722086588,6232.469390020109,直连,
T19,巡航,6232.469390020109,6402.759057953629,中继,RS02
T19,巡航,6402.759057953629,6705.071092845695,中继,RS03
T19,下降,6705.071092845695,6773.046759349601,中继,RS03
T19,投送,6773.046759349601,6983.046759349601,中继,RS03
T19,爬升,6983.046759349601,7039.693148102856,中继,RS03
T19,巡航,7039.693148102856,7350.0,中继,RS03
T19,巡航,7350.0,7682.584518861952,直连,
T19,下降,7682.584518861952,7790.800185365859,直连,
T20,爬升,5972.0,6062.179722086588,直连,
T20,巡航,6062.179722086588,6232.469390020109,直连,
T20,巡航,6232.469390020109,6402.759057953629,中继,RS02
T20,巡航,6402.759057953629,6705.071092845695,中继,RS03
T20,下降,6705.071092845695,6773.046759349601,中继,RS03
T20,投送,6773.046759349601,6983.046759349601,中继,RS03
T20,爬升,6983.046759349601,7039.693148102856,中继,RS03
T20,巡航,7039.693148102856,7350.0,中继,RS03
T20,巡航,7350.0,7682.584518861952,直连,
T20,下降,7682.584518861952,7790.800185365859,直连,
T21,爬升,6192.0,6271.48435546875,直连,
T21,巡航,6271.48435546875,6457.950497946909,直连,
T21,巡航,6457.950497946909,6623.52481792675,中继,RS03
T21,下降,6623.52481792675,6689.2302622626885,中继,RS03
T21,投送,6689.2302622626885,7085.2302622626885,中继,RS03
T21,爬升,7085.2302622626885,7133.685462458001,中继,RS03
T21,巡航,7133.685462458001,7267.887308273443,中继,RS03
T21,巡航,7267.887308273443,7328.888147280462,直连,
T21,下降,7328.888147280462,7394.957147524603,直连,
T21,投送,7394.957147524603,7646.957147524603,直连,
